ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Unit Of Sale,Volume Of Sale,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web
10595313,Volvic Touch Of Fruit Strawb,Volvic Touch Of Fruit Strawberry,0.34,0.79,0.69,,20,0,drinks,,,0,3.05764E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595314,VOLVIC WATER 31/05/18,VOLVIC WATER 31/05/18,0.35,0.69,0.69,,20,0,drinks,,,0,3.05764E+12,Rayburn,,0,Standard,,,,,,,y,n
10595315,Walkers Cheese & Onio,Walkers Cheese & Onion RR,0.64,1,1.19,,20,0,food,,,0,5.00033E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595318,Walkers 5 Pack Prawn Cocktai,Walkers 5 Pack Prawn Cocktail RR,0.69,1,1.19,,20,0,food,,,0,5.00033E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595319,Walkers 5 Pack Ready Salted,Walkers 5 Pack Ready Salted RRP,0.69,1,1.19,,20,0,food,,,0,5.00033E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595320,Walkers Salt & Vinega,Walkers Salt & Vinegar RR,0.37,1,1.19,,20,0,food,,,0,5.00043E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595321,Walkers 5 Pack Wotsits Chees,Walkers 5 Pack Wotsits Cheese RR,0.69,1.19,1.19,,20,0,food,,,0,5.00033E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595322,Walkers 8Pk Cheetos Flamin H,Walkers 8Pk Cheetos Flamin Hot T,0.68,1.39,1.39,,20,0,food,,,0,5.00033E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595323,Walkers Cheetos Crunchies 30,Walkers Cheetos Crunchies 30g PM,0.22,0.39,0.49,,20,0,food,,,0,5.00033E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595324,Walkers Cheetos Twist 30g PM,Walkers Cheetos Twist 30g PM 39p,0.22,0.49,0.49,,20,0,food,,,0,5.00033E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595325,WALKERS COVERED BRAZILS 30/9,WALKERS COVERED BRAZILS 30/9/17,0.62,1,1,,20,0,confectionery,,,0,5.01156E+12,Rayburn,,0,Standard,,,,,,,y,n
